

Test SearchCount: 1000 Invalid Count: 1000 StringCount: 10000
HashTable-1426028922-Insert
Trial,N,BasicOps,Time
1,10000,90000,0.0152549743652
2,10000,90000,0.0151560306549
3,10000,90000,0.0140781402588
4,10000,90000,0.0147371292114
5,10000,90000,0.0140738487244
6,10000,90000,0.0146281719208
7,10000,90000,0.0142450332642
8,10000,90000,0.0150029659271
9,10000,90000,0.0144188404083
10,10000,90000,0.0142679214478


HashTable-1426028922-SearchSuccessful
Trial,N,BasicOps,Time
1,10000,9000,0.00545501708984
2,10000,9000,0.0054030418396
3,10000,9000,0.00541996955872
4,10000,9000,0.00537800788879
5,10000,9000,0.00541615486145
6,10000,9000,0.00540709495544
7,10000,9000,0.00624394416809
8,10000,9000,0.00541496276855
9,10000,9000,0.00537896156311
10,10000,9000,0.00619387626648


HashTable-1426028922-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10000,9000,0.00932598114014
2,10000,9000,0.00889205932617
3,10000,9000,0.0088038444519
4,10000,9000,0.00879907608032
5,10000,9000,0.00880408287048
6,10000,9000,0.00941801071167
7,10000,9000,0.00893497467041
8,10000,9000,0.00928997993469
9,10000,9000,0.00878214836121
10,10000,9000,0.0087468624115
