HashTable-1425449440-Insert
Trial,N,BasicOps,Time
0,10000,90000,0.020663022995
1,10000,90000,0.0197019577026
2,10000,90000,0.0196309089661
3,10000,90000,0.0194149017334
4,10000,90000,0.0193779468536
5,10000,90000,0.0193791389465
6,10000,90000,0.0196149349213
7,10000,90000,0.0193939208984
8,10000,90000,0.0193541049957
9,10000,90000,0.0193979740143
