

Test SearchCount: 10 Invalid Count: 10 StringCount: 100
BST-100-Insert
Trial,N,BasicOps,Time
1,100,725,0.0018789768219
2,100,725,0.00142598152161
3,100,725,0.00142502784729
4,100,725,0.00137400627136
5,100,725,0.00143790245056
6,100,725,0.00140190124512
7,100,725,0.00137305259705
8,100,725,0.00139999389648
9,100,725,0.00139498710632
10,100,725,0.00137495994568


BST-100-SearchSuccessful
Trial,N,BasicOps,Time
1,100,69,0.000184059143066
2,100,69,0.000200986862183
3,100,69,0.000175952911377
4,100,69,0.000177145004272
5,100,69,0.000176191329956
6,100,69,0.000190019607544
7,100,69,0.000178098678589
8,100,69,0.000176191329956
9,100,69,0.000177145004272
10,100,69,0.000175952911377


BST-100-SearchInvalidStrings
Trial,N,BasicOps,Time
1,100,85,0.00022292137146
2,100,85,0.000221967697144
3,100,85,0.000221967697144
4,100,85,0.000221967697144
5,100,85,0.000221967697144
6,100,85,0.000221967697144
7,100,85,0.000221014022827
8,100,85,0.000221967697144
9,100,85,0.000245094299316
10,100,85,0.000221967697144
