

Test SearchCount: 10 Invalid Count: 10 StringCount: 100
234-100-Insert
Trial,N,BasicOps,Time
1,100,588,0.00325703620911
2,100,588,0.00343203544617
3,100,588,0.00465106964111
4,100,588,0.00351595878601
5,100,588,0.00322198867798
6,100,588,0.00317716598511
7,100,588,0.00327587127686
8,100,588,0.00321698188782
9,100,588,0.00326919555664
10,100,588,0.00331902503967


234-100-SearchSuccessful
Trial,N,BasicOps,Time
1,100,55,0.000157117843628
2,100,55,0.000153064727783
3,100,55,0.000148773193359
4,100,55,0.000150203704834
5,100,55,0.000155925750732
6,100,55,0.000151872634888
7,100,55,0.000149011611938
8,100,55,0.000150918960571
9,100,55,0.000150918960571
10,100,55,0.000147819519043


234-100-SearchInvalidStrings
Trial,N,BasicOps,Time
1,100,69,0.000195026397705
2,100,69,0.000205039978027
3,100,69,0.000205993652344
4,100,69,0.000207185745239
5,100,69,0.000232934951782
6,100,69,0.000190019607544
7,100,69,0.000192880630493
8,100,69,0.000201940536499
9,100,69,0.000211000442505
10,100,69,0.000198841094971
