

Test SearchCount: 100 Invalid Count: 100 StringCount: 1000
234-1426028921-Insert
Trial,N,BasicOps,Time
1,1000,10881,0.0354189872742
2,1000,10881,0.0345568656921
3,1000,10881,0.0351059436798
4,1000,10881,0.0352141857147
5,1000,10881,0.0335891246796
6,1000,10881,0.0342319011688
7,1000,10881,0.0352449417114
8,1000,10881,0.0340578556061
9,1000,10881,0.033882856369
10,1000,10881,0.0344779491425


234-1426028921-SearchSuccessful
Trial,N,BasicOps,Time
1,1000,982,0.00167918205261
2,1000,982,0.00170111656189
3,1000,982,0.00166201591492
4,1000,982,0.00167989730835
5,1000,982,0.00165009498596
6,1000,982,0.00167798995972
7,1000,982,0.00167012214661
8,1000,982,0.00169801712036
9,1000,982,0.00168800354004
10,1000,982,0.00167107582092


234-1426028921-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000,1080,0.00185012817383
2,1000,1080,0.00182604789734
3,1000,1080,0.00183701515198
4,1000,1080,0.00180411338806
5,1000,1080,0.00183200836182
6,1000,1080,0.00183200836182
7,1000,1080,0.00183081626892
8,1000,1080,0.00183892250061
9,1000,1080,0.00184512138367
10,1000,1080,0.00183796882629
