

Test SearchCount: 100 Invalid Count: 100 StringCount: 1000
BST-1426028921-Insert
Trial,N,BasicOps,Time
1,1000,12090,0.0167491436005
2,1000,12090,0.0155549049377
3,1000,12090,0.0157911777496
4,1000,12090,0.0155608654022
5,1000,12090,0.0158410072327
6,1000,12090,0.0156629085541
7,1000,12090,0.015643119812
8,1000,12090,0.0156371593475
9,1000,12090,0.0156810283661
10,1000,12090,0.015515089035


BST-1426028921-SearchSuccessful
Trial,N,BasicOps,Time
1,1000,1201,0.0019211769104
2,1000,1201,0.00192093849182
3,1000,1201,0.00189614295959
4,1000,1201,0.00190401077271
5,1000,1201,0.00189805030823
6,1000,1201,0.00192308425903
7,1000,1201,0.00192308425903
8,1000,1201,0.00190496444702
9,1000,1201,0.00189709663391
10,1000,1201,0.00190496444702


BST-1426028921-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000,1277,0.00205111503601
2,1000,1277,0.00205898284912
3,1000,1277,0.00209307670593
4,1000,1277,0.0021390914917
5,1000,1277,0.00207901000977
6,1000,1277,0.00207614898682
7,1000,1277,0.00206995010376
8,1000,1277,0.00211405754089
9,1000,1277,0.00209307670593
10,1000,1277,0.0020899772644
