

Test SearchCount: 100 Invalid Count: 100 StringCount: 1000
HashTable-1426028921-Insert
Trial,N,BasicOps,Time
1,1000,9000,0.0014169216156
2,1000,9000,0.00142812728882
3,1000,9000,0.00142002105713
4,1000,9000,0.00141191482544
5,1000,9000,0.00139999389648
6,1000,9000,0.00141787528992
7,1000,9000,0.00140810012817
8,1000,9000,0.00141787528992
9,1000,9000,0.00139784812927
10,1000,9000,0.00142002105713


HashTable-1426028921-SearchSuccessful
Trial,N,BasicOps,Time
1,1000,900,0.000221967697144
2,1000,900,0.000219106674194
3,1000,900,0.000218868255615
4,1000,900,0.000218868255615
5,1000,900,0.000218152999878
6,1000,900,0.000219106674194
7,1000,900,0.000218868255615
8,1000,900,0.000217914581299
9,1000,900,0.000217914581299
10,1000,900,0.000218152999878


HashTable-1426028921-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000,900,0.000244855880737
2,1000,900,0.000255107879639
3,1000,900,0.000245809555054
4,1000,900,0.000245094299316
5,1000,900,0.000244140625
6,1000,900,0.000244855880737
7,1000,900,0.000243902206421
8,1000,900,0.000261068344116
9,1000,900,0.000243902206421
10,1000,900,0.000244140625
