

Test SearchCount: 100000 Invalid Count: 100000 StringCount: 1000000
234-1425970665-Insert
Trial,N,BasicOps,Time
1,1000000,26477674,107.416628122
2,1000000,26477674,108.273880005
3,1000000,26477674,109.280099869
4,1000000,26477674,109.800715923
5,1000000,26477674,107.118401051
6,1000000,26477674,107.972050905
7,1000000,26477674,108.754241943
8,1000000,26477674,107.554362059
9,1000000,26477674,106.434756041
10,1000000,26477674,109.045370102


234-1425970665-SearchSuccessful
Trial,N,BasicOps,Time
1,1000000,2179115,4.58576893806
2,1000000,2179115,4.65606594086
3,1000000,2179115,4.55341482162
4,1000000,2179115,4.68863296509
5,1000000,2179115,4.60195112228
6,1000000,2179115,4.60228896141
7,1000000,2179115,4.6300971508
8,1000000,2179115,4.58634495735
9,1000000,2179115,4.57898211479
10,1000000,2179115,4.56417512894


234-1425970665-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000000,2297477,4.94655990601
2,1000000,2297477,4.96642184258
3,1000000,2297477,4.99230980873
4,1000000,2297477,4.94294404984
5,1000000,2297477,4.96317219734
6,1000000,2297477,4.99087882042
7,1000000,2297477,4.96621513367
8,1000000,2297477,4.95269703865
9,1000000,2297477,4.97295999527
10,1000000,2297477,4.97770309448
