

Test SearchCount: 10000 Invalid Count: 10000 StringCount: 100000
234-1426014212-Insert
Trial,N,BasicOps,Time
1,100000,2146280,6.96571803093
2,100000,2146280,7.43533706665
3,100000,2146280,6.65810608864
4,100000,2146280,6.67088198662
5,100000,2146280,7.53152513504
6,100000,2146280,7.18972301483
7,100000,2146280,7.06748795509
8,100000,2146280,7.06016802788
9,100000,2146280,6.51116490364
10,100000,2146280,7.27876996994


234-1426014212-SearchSuccessful
Trial,N,BasicOps,Time
1,100000,179980,0.270175933838
2,100000,179980,0.250832796097
3,100000,179980,0.247722864151
4,100000,179980,0.265184879303
5,100000,179980,0.355288982391
6,100000,179980,0.337449073792
7,100000,179980,0.321352005005
8,100000,179980,0.339853048325
9,100000,179980,0.328131914139
10,100000,179980,0.255624055862


234-1426014212-SearchInvalidStrings
Trial,N,BasicOps,Time
1,100000,191505,0.279145002365
2,100000,191505,0.270000934601
3,100000,191505,0.366072893143
4,100000,191505,0.35635304451
5,100000,191505,0.35403585434
6,100000,191505,0.366091012955
7,100000,191505,0.377192020416
8,100000,191505,0.35310792923
9,100000,191505,0.347857952118
10,100000,191505,0.372622966766
