

Test SearchCount: 10000 Invalid Count: 10000 StringCount: 100000
HashTable-1426014212-Insert
Trial,N,BasicOps,Time
1,100000,900000,0.145903110504
2,100000,900000,0.137099981308
3,100000,900000,0.136507034302
4,100000,900000,0.136219978333
5,100000,900000,0.135507106781
6,100000,900000,0.136639118195
7,100000,900000,0.135746955872
8,100000,900000,0.135261058807
9,100000,900000,0.134383916855
10,100000,900000,0.134068012238


HashTable-1426014212-SearchSuccessful
Trial,N,BasicOps,Time
1,100000,90000,0.548830986023
2,100000,90000,0.548959970474
3,100000,90000,0.549250125885
4,100000,90000,0.548454999924
5,100000,90000,0.549411773682
6,100000,90000,0.55274605751
7,100000,90000,0.573323965073
8,100000,90000,0.558812141418
9,100000,90000,0.551707029343
10,100000,90000,0.549509048462


HashTable-1426014212-SearchInvalidStrings
Trial,N,BasicOps,Time
1,100000,90000,1.20199322701
2,100000,90000,1.20730185509
3,100000,90000,1.20477509499
4,100000,90000,1.20167183876
5,100000,90000,1.20260000229
6,100000,90000,1.2018930912
7,100000,90000,1.21192908287
8,100000,90000,1.20018100739
9,100000,90000,1.19920897484
10,100000,90000,1.19728302956
