

Test SearchCount: 10000 Invalid Count: 10000 StringCount: 100000
BST-1426014212-Insert
Trial,N,BasicOps,Time
1,100000,2095940,3.14078092575
2,100000,2095940,3.11089801788
3,100000,2095940,3.13432598114
4,100000,2095940,2.44563603401
5,100000,2095940,3.12422013283
6,100000,2095940,3.08023619652
7,100000,2095940,3.05951499939
8,100000,2095940,3.04795598984
9,100000,2095940,2.7650949955
10,100000,2095940,3.15945911407


BST-1426014212-SearchSuccessful
Trial,N,BasicOps,Time
1,100000,209186,0.381433010101
2,100000,209186,0.377880096436
3,100000,209186,0.3766310215
4,100000,209186,0.37718296051
5,100000,209186,0.381907939911
6,100000,209186,0.388000965118
7,100000,209186,0.385184049606
8,100000,209186,0.39294719696
9,100000,209186,0.379780054092
10,100000,209186,0.389734983444


BST-1426014212-SearchInvalidStrings
Trial,N,BasicOps,Time
1,100000,219298,0.407950162888
2,100000,219298,0.405861854553
3,100000,219298,0.402049064636
4,100000,219298,0.39886713028
5,100000,219298,0.399515151978
6,100000,219298,0.398283004761
7,100000,219298,0.406342029572
8,100000,219298,0.401780128479
9,100000,219298,0.404381036758
10,100000,219298,0.398684024811
