

Test SearchCount: 100000 Invalid Count: 100000 StringCount: 1000000
BST-1425970665-Insert
Trial,N,BasicOps,Time
1,1000000,25870761,49.901927948
2,1000000,25870761,47.7661089897
3,1000000,25870761,47.5794999599
4,1000000,25870761,49.9402561188
5,1000000,25870761,47.4041848183
6,1000000,25870761,48.0739970207
7,1000000,25870761,50.0538020134
8,1000000,25870761,47.1601610184
9,1000000,25870761,47.8522381783
10,1000000,25870761,50.0468978882


BST-1425970665-SearchSuccessful
Trial,N,BasicOps,Time
1,1000000,2585262,5.00469994545
2,1000000,2585262,5.4035179615
3,1000000,2585262,5.24306797981
4,1000000,2585262,5.34032797813
5,1000000,2585262,5.3315551281
6,1000000,2585262,5.53858709335
7,1000000,2585262,5.38551998138
8,1000000,2585262,5.38741397858
9,1000000,2585262,5.36835503578
10,1000000,2585262,5.3635840416


BST-1425970665-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000000,2685368,5.61434197426
2,1000000,2685368,5.62650895119
3,1000000,2685368,5.30546116829
4,1000000,2685368,5.63069701195
5,1000000,2685368,5.61760497093
6,1000000,2685368,5.58111000061
7,1000000,2685368,5.64002513885
8,1000000,2685368,5.5912270546
9,1000000,2685368,5.63654208183
10,1000000,2685368,5.59696006775
