

Test SearchCount: 10000 Invalid Count: 10000 StringCount: 100000
BST-100000-Insert
Trial,N,BasicOps,Time
1,100000,2097773,4.13452911377
2,100000,2097773,3.73607587814
3,100000,2097773,3.79164910316
4,100000,2097773,3.18263792992
5,100000,2097773,3.62960910797
6,100000,2097773,4.052120924
7,100000,2097773,3.5196750164
8,100000,2097773,3.68173193932
9,100000,2097773,3.77843379974
10,100000,2097773,4.0861530304


BST-100000-SearchSuccessful
Trial,N,BasicOps,Time
1,100000,209695,0.589563846588
2,100000,209695,0.549140930176
3,100000,209695,0.419041156769
4,100000,209695,0.363115787506
5,100000,209695,0.350180149078
6,100000,209695,0.36545586586
7,100000,209695,0.362416982651
8,100000,209695,0.491307020187
9,100000,209695,0.399777889252
10,100000,209695,0.336291074753


BST-100000-SearchInvalidStrings
Trial,N,BasicOps,Time
1,100000,219879,0.387665987015
2,100000,219879,0.611451864243
3,100000,219879,0.577079057693
4,100000,219879,0.535866975784
5,100000,219879,0.395763874054
6,100000,219879,0.407613992691
7,100000,219879,0.407783031464
8,100000,219879,0.373677968979
9,100000,219879,0.346266031265
10,100000,219879,0.461194992065
