

Test SearchCount: 10000 Invalid Count: 10000 StringCount: 100000
234-100000-Insert
Trial,N,BasicOps,Time
1,100000,2142144,9.48542618752
2,100000,2142144,10.112735033
3,100000,2142144,10.4405319691
4,100000,2142144,10.2918870449
5,100000,2142144,10.129379034
6,100000,2142144,6.86461997032
7,100000,2142144,10.3459370136
8,100000,2142144,10.2241060734
9,100000,2142144,10.4120690823
10,100000,2142144,10.7125730515


234-100000-SearchSuccessful
Trial,N,BasicOps,Time
1,100000,179047,0.497098922729
2,100000,179047,0.452257156372
3,100000,179047,0.498178958893
4,100000,179047,0.385851860046
5,100000,179047,0.444672822952
6,100000,179047,0.389575004578
7,100000,179047,0.423361778259
8,100000,179047,0.454111099243
9,100000,179047,0.502581834793
10,100000,179047,0.496406078339


234-100000-SearchInvalidStrings
Trial,N,BasicOps,Time
1,100000,191901,0.54719209671
2,100000,191901,0.477102994919
3,100000,191901,0.56285405159
4,100000,191901,0.52316403389
5,100000,191901,0.502048969269
6,100000,191901,0.478786945343
7,100000,191901,0.414937973022
8,100000,191901,0.614542007446
9,100000,191901,0.462188959122
10,100000,191901,0.325744867325
