

Test SearchCount: 10000 Invalid Count: 10000 StringCount: 100000
BST-1425969259-Insert
Trial,N,BasicOps,Time
1,100000,2099746,3.30491304398
2,100000,2099746,3.34444022179
3,100000,2099746,3.33365106583
4,100000,2099746,3.16853308678
5,100000,2099746,3.0701880455
6,100000,2099746,3.23047089577
7,100000,2099746,3.24000501633
8,100000,2099746,2.91758799553
9,100000,2099746,3.24274611473
10,100000,2099746,3.24871015549


BST-1425969259-SearchSuccessful
Trial,N,BasicOps,Time
1,100000,209863,0.398624897003
2,100000,209863,0.398593902588
3,100000,209863,0.395479202271
4,100000,209863,0.399215936661
5,100000,209863,0.394004106522
6,100000,209863,0.392022848129
7,100000,209863,0.386063098907
8,100000,209863,0.38415312767
9,100000,209863,0.381728887558
10,100000,209863,0.386847019196


BST-1425969259-SearchInvalidStrings
Trial,N,BasicOps,Time
1,100000,220732,0.421947002411
2,100000,220732,0.417985200882
3,100000,220732,0.418336868286
4,100000,220732,0.413316965103
5,100000,220732,0.415970802307
6,100000,220732,0.413651943207
7,100000,220732,0.416615009308
8,100000,220732,0.427906990051
9,100000,220732,0.415585041046
10,100000,220732,0.418627023697
