

Test SearchCount: 1000 Invalid Count: 1000 StringCount: 10000
234-1426014191-Insert
Trial,N,BasicOps,Time
1,10000,167660,0.498851060867
2,10000,167660,0.499802827835
3,10000,167660,0.520330190659
4,10000,167660,0.501418113708
5,10000,167660,0.500910997391
6,10000,167660,0.510996103287
7,10000,167660,0.550057172775
8,10000,167660,0.513073921204
9,10000,167660,0.518035173416
10,10000,167660,0.549872159958


234-1426014191-SearchSuccessful
Trial,N,BasicOps,Time
1,10000,14600,0.0244407653809
2,10000,14600,0.0240449905396
3,10000,14600,0.0240039825439
4,10000,14600,0.0239989757538
5,10000,14600,0.0242040157318
6,10000,14600,0.0239560604095
7,10000,14600,0.0239660739899
8,10000,14600,0.0239949226379
9,10000,14600,0.0240190029144
10,10000,14600,0.0239479541779


234-1426014191-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10000,15734,0.027489900589
2,10000,15734,0.026337146759
3,10000,15734,0.0263230800629
4,10000,15734,0.0263481140137
5,10000,15734,0.0263390541077
6,10000,15734,0.0262961387634
7,10000,15734,0.0264849662781
8,10000,15734,0.0262739658356
9,10000,15734,0.026337146759
10,10000,15734,0.0265729427338
