

Test SearchCount: 1000 Invalid Count: 1000 StringCount: 10000
BST-1426014191-Insert
Trial,N,BasicOps,Time
1,10000,170492,0.238286972046
2,10000,170492,0.221728086472
3,10000,170492,0.224504947662
4,10000,170492,0.224117994308
5,10000,170492,0.218826055527
6,10000,170492,0.222149133682
7,10000,170492,0.222650051117
8,10000,170492,0.219587087631
9,10000,170492,0.220695018768
10,10000,170492,0.218152046204


BST-1426014191-SearchSuccessful
Trial,N,BasicOps,Time
1,10000,17097,0.0282440185547
2,10000,17097,0.0279650688171
3,10000,17097,0.0280158519745
4,10000,17097,0.02792096138
5,10000,17097,0.0278680324554
6,10000,17097,0.0279428958893
7,10000,17097,0.0279040336609
8,10000,17097,0.0279388427734
9,10000,17097,0.0281431674957
10,10000,17097,0.0279200077057


BST-1426014191-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10000,18064,0.0301339626312
2,10000,18064,0.0297429561615
3,10000,18064,0.0299911499023
4,10000,18064,0.0298280715942
5,10000,18064,0.030326128006
6,10000,18064,0.0299468040466
7,10000,18064,0.0299849510193
8,10000,18064,0.0302648544312
9,10000,18064,0.0299661159515
10,10000,18064,0.0298609733582
