

Test SearchCount: 1000 Invalid Count: 1000 StringCount: 10000
BST-1425969239-Insert
Trial,N,BasicOps,Time
1,10000,157132,0.220769166946
2,10000,157132,0.214802980423
3,10000,157132,0.21387887001
4,10000,157132,0.216251850128
5,10000,157132,0.211981058121
6,10000,157132,0.214573860168
7,10000,157132,0.212823152542
8,10000,157132,0.211271047592
9,10000,157132,0.213629961014
10,10000,157132,0.215667009354


BST-1425969239-SearchSuccessful
Trial,N,BasicOps,Time
1,10000,15760,0.0280740261078
2,10000,15760,0.0279738903046
3,10000,15760,0.0279958248138
4,10000,15760,0.0280351638794
5,10000,15760,0.0282549858093
6,10000,15760,0.027979850769
7,10000,15760,0.028037071228
8,10000,15760,0.0281038284302
9,10000,15760,0.0280508995056
10,10000,15760,0.0281431674957


BST-1425969239-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10000,16725,0.0313210487366
2,10000,16725,0.0300979614258
3,10000,16725,0.0295059680939
4,10000,16725,0.0288479328156
5,10000,16725,0.0289130210876
6,10000,16725,0.028904914856
7,10000,16725,0.0288741588593
8,10000,16725,0.0288360118866
9,10000,16725,0.0288119316101
10,10000,16725,0.0288360118866
