

Test SearchCount: 1000 Invalid Count: 1000 StringCount: 10000
234-1425969239-Insert
Trial,N,BasicOps,Time
1,10000,162091,0.498781204224
2,10000,162091,0.4973051548
3,10000,162091,0.517971992493
4,10000,162091,0.498338222504
5,10000,162091,0.497884988785
6,10000,162091,0.497874975204
7,10000,162091,0.534675121307
8,10000,162091,0.50098490715
9,10000,162091,0.500118017197
10,10000,162091,0.539757966995


234-1425969239-SearchSuccessful
Trial,N,BasicOps,Time
1,10000,13998,0.0236248970032
2,10000,13998,0.0235710144043
3,10000,13998,0.0234529972076
4,10000,13998,0.0234878063202
5,10000,13998,0.023540019989
6,10000,13998,0.0243949890137
7,10000,13998,0.0235729217529
8,10000,13998,0.0234520435333
9,10000,13998,0.0235109329224
10,10000,13998,0.0234961509705


234-1425969239-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10000,15260,0.0266649723053
2,10000,15260,0.0260519981384
3,10000,15260,0.0260000228882
4,10000,15260,0.0260181427002
5,10000,15260,0.0267038345337
6,10000,15260,0.0262730121613
7,10000,15260,0.0260360240936
8,10000,15260,0.02601313591
9,10000,15260,0.0260789394379
10,10000,15260,0.0259392261505
