

Test SearchCount: 1000 Invalid Count: 1000 StringCount: 10000
234-10000-Insert
Trial,N,BasicOps,Time
1,10000,161032,0.763716220856
2,10000,161032,0.746496915817
3,10000,161032,0.764240980148
4,10000,161032,0.63028216362
5,10000,161032,0.775147914886
6,10000,161032,0.628579139709
7,10000,161032,0.669220924377
8,10000,161032,0.658763170242
9,10000,161032,0.771949768066
10,10000,161032,0.670147180557


234-10000-SearchSuccessful
Trial,N,BasicOps,Time
1,10000,14023,0.0217578411102
2,10000,14023,0.0213458538055
3,10000,14023,0.0359590053558
4,10000,14023,0.0384600162506
5,10000,14023,0.0401968955994
6,10000,14023,0.0375080108643
7,10000,14023,0.0381290912628
8,10000,14023,0.0384302139282
9,10000,14023,0.039510011673
10,10000,14023,0.0411009788513


234-10000-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10000,15117,0.0341279506683
2,10000,15117,0.0383639335632
3,10000,15117,0.0400319099426
4,10000,15117,0.0422959327698
5,10000,15117,0.0421850681305
6,10000,15117,0.0407800674438
7,10000,15117,0.0365891456604
8,10000,15117,0.0353009700775
9,10000,15117,0.0265238285065
10,10000,15117,0.0407290458679
