

Test SearchCount: 1000 Invalid Count: 1000 StringCount: 10000
BST-10000-Insert
Trial,N,BasicOps,Time
1,10000,161969,0.269391059875
2,10000,161969,0.276866912842
3,10000,161969,0.285544157028
4,10000,161969,0.269090175629
5,10000,161969,0.326163053513
6,10000,161969,0.284581899643
7,10000,161969,0.331280946732
8,10000,161969,0.240532875061
9,10000,161969,0.283596992493
10,10000,161969,0.277535915375


BST-10000-SearchSuccessful
Trial,N,BasicOps,Time
1,10000,16319,0.0431051254272
2,10000,16319,0.0481278896332
3,10000,16319,0.0351960659027
4,10000,16319,0.0478291511536
5,10000,16319,0.0339920520782
6,10000,16319,0.0375759601593
7,10000,16319,0.0477111339569
8,10000,16319,0.0280270576477
9,10000,16319,0.0247550010681
10,10000,16319,0.0359899997711


BST-10000-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10000,17194,0.0481469631195
2,10000,17194,0.0273358821869
3,10000,17194,0.0269510746002
4,10000,17194,0.0269260406494
5,10000,17194,0.027107000351
6,10000,17194,0.0276889801025
7,10000,17194,0.0274348258972
8,10000,17194,0.0268919467926
9,10000,17194,0.0270538330078
10,10000,17194,0.0271949768066
