

Test SearchCount: 1 Invalid Count: 1 StringCount: 10
234-10-Insert
Trial,N,BasicOps,Time
1,10,17,0.000189065933228
2,10,17,0.000152111053467
3,10,17,0.000163078308105
4,10,17,0.000157117843628
5,10,17,0.000154972076416
6,10,17,0.000159978866577
7,10,17,0.000149965286255
8,10,17,0.000159025192261
9,10,17,0.000149965286255
10,10,17,0.000149011611938


234-10-SearchSuccessful
Trial,N,BasicOps,Time
1,10,4,1.50203704834e-05
2,10,4,1.28746032715e-05
3,10,4,1.31130218506e-05
4,10,4,1.31130218506e-05
5,10,4,1.21593475342e-05
6,10,4,1.19209289551e-05
7,10,4,1.19209289551e-05
8,10,4,1.19209289551e-05
9,10,4,1.19209289551e-05
10,10,4,1.28746032715e-05


234-10-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10,4,1.21593475342e-05
2,10,4,1.21593475342e-05
3,10,4,1.21593475342e-05
4,10,4,1.09672546387e-05
5,10,4,1.21593475342e-05
6,10,4,1.21593475342e-05
7,10,4,1.21593475342e-05
8,10,4,1.09672546387e-05
9,10,4,1.21593475342e-05
10,10,4,1.12056732178e-05
