

Test SearchCount: 10000 Invalid Count: 10000 StringCount: 100000
HashTable-1426028942-Insert
Trial,N,BasicOps,Time
1,100000,900000,0.153510093689
2,100000,900000,0.153526067734
3,100000,900000,0.14545917511
4,100000,900000,0.140501976013
5,100000,900000,0.140077829361
6,100000,900000,0.139701128006
7,100000,900000,0.139558792114
8,100000,900000,0.139597892761
9,100000,900000,0.140161991119
10,100000,900000,0.1400411129


HashTable-1426028942-SearchSuccessful
Trial,N,BasicOps,Time
1,100000,90000,0.556926012039
2,100000,90000,0.5551841259
3,100000,90000,0.555282115936
4,100000,90000,0.555557966232
5,100000,90000,0.55574798584
6,100000,90000,0.556590080261
7,100000,90000,0.556548833847
8,100000,90000,0.559005022049
9,100000,90000,0.57301402092
10,100000,90000,0.579131126404


HashTable-1426028942-SearchInvalidStrings
Trial,N,BasicOps,Time
1,100000,90000,1.24891090393
2,100000,90000,1.24510598183
3,100000,90000,1.19770503044
4,100000,90000,1.19673585892
5,100000,90000,1.19708108902
6,100000,90000,1.19887590408
7,100000,90000,1.19671797752
8,100000,90000,1.19803094864
9,100000,90000,1.19908809662
10,100000,90000,1.19851303101
