

Test SearchCount: 100000 Invalid Count: 100000 StringCount: 1000000
234-1426015627-Insert
Trial,N,BasicOps,Time
1,1000000,26789774,118.712044001
2,1000000,26789774,124.573462963
3,1000000,26789774,125.872956038
4,1000000,26789774,127.432577848
5,1000000,26789774,125.244477987
6,1000000,26789774,126.645502806
7,1000000,26789774,123.651844978
8,1000000,26789774,129.036902189
9,1000000,26789774,126.138292789
10,1000000,26789774,116.361088991


234-1426015627-SearchSuccessful
Trial,N,BasicOps,Time
1,1000000,2203527,5.17194509506
2,1000000,2203527,5.14369511604
3,1000000,2203527,5.22411203384
4,1000000,2203527,5.00661301613
5,1000000,2203527,5.34674692154
6,1000000,2203527,5.50396299362
7,1000000,2203527,5.45846104622
8,1000000,2203527,5.07321691513
9,1000000,2203527,5.11774897575
10,1000000,2203527,5.27848005295


234-1426015627-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000000,2321651,5.63611912727
2,1000000,2321651,5.88792419434
3,1000000,2321651,6.07677102089
4,1000000,2321651,6.15557599068
5,1000000,2321651,6.08388185501
6,1000000,2321651,6.21429920197
7,1000000,2321651,6.14423084259
8,1000000,2321651,5.18628692627
9,1000000,2321651,6.0102250576
10,1000000,2321651,5.91423106194
