

Test SearchCount: 100000 Invalid Count: 100000 StringCount: 1000000
BST-1426015627-Insert
Trial,N,BasicOps,Time
1,1000000,25480828,59.6453790665
2,1000000,25480828,56.4964010715
3,1000000,25480828,52.1115980148
4,1000000,25480828,57.7293310165
5,1000000,25480828,55.9490838051
6,1000000,25480828,51.6020889282
7,1000000,25480828,54.1489949226
8,1000000,25480828,55.9374361038
9,1000000,25480828,56.5552620888
10,1000000,25480828,51.1251139641


BST-1426015627-SearchSuccessful
Trial,N,BasicOps,Time
1,1000000,2547023,6.45321321487
2,1000000,2547023,6.06108212471
3,1000000,2547023,5.9681520462
4,1000000,2547023,6.25512504578
5,1000000,2547023,5.82167983055
6,1000000,2547023,6.01590490341
7,1000000,2547023,6.12909889221
8,1000000,2547023,6.15247392654
9,1000000,2547023,6.45268583298
10,1000000,2547023,6.04872989655


BST-1426015627-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000000,2647783,6.21107196808
2,1000000,2647783,6.16858196259
3,1000000,2647783,6.36850500107
4,1000000,2647783,5.98143291473
5,1000000,2647783,6.03120589256
6,1000000,2647783,6.56047511101
7,1000000,2647783,6.46196818352
8,1000000,2647783,6.8158519268
9,1000000,2647783,6.38137602806
10,1000000,2647783,6.23686790466
