

Test SearchCount: 100000 Invalid Count: 100000 StringCount: 1000000
HashTable-1426015627-Insert
Trial,N,BasicOps,Time
1,1000000,9000000,1.40594887733
2,1000000,9000000,1.39306592941
3,1000000,9000000,1.37838196754
4,1000000,9000000,1.39857316017
5,1000000,9000000,1.3816640377
6,1000000,9000000,1.39443588257
7,1000000,9000000,1.38884592056
8,1000000,9000000,1.38105297089
9,1000000,9000000,1.38992381096
10,1000000,9000000,1.37874698639


HashTable-1426015627-SearchSuccessful
Trial,N,BasicOps,Time
1,1000000,900000,108.494848013
2,1000000,900000,110.31209898
3,1000000,900000,103.814419985
4,1000000,900000,129.335801125
5,1000000,900000,147.145232916
6,1000000,900000,139.169127941
7,1000000,900000,129.099303007
8,1000000,900000,139.788112879
9,1000000,900000,132.861693859
10,1000000,900000,136.366350174


HashTable-1426015627-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000000,900000,266.045258045
2,1000000,900000,239.609183073
3,1000000,900000,263.257215023
4,1000000,900000,239.014180899
5,1000000,900000,240.349481821
6,1000000,900000,231.728291035
7,1000000,900000,240.048909903
8,1000000,900000,244.788501024
9,1000000,900000,241.46409893
10,1000000,900000,261.148205042
