

Test SearchCount: 100 Invalid Count: 100 StringCount: 1000
234-1000-Insert
Trial,N,BasicOps,Time
1,1000,10414,0.0530939102173
2,1000,10414,0.052628993988
3,1000,10414,0.0530161857605
4,1000,10414,0.0547111034393
5,1000,10414,0.0529360771179
6,1000,10414,0.0522651672363
7,1000,10414,0.0546569824219
8,1000,10414,0.0402932167053
9,1000,10414,0.0524919033051
10,1000,10414,0.0544168949127


234-1000-SearchSuccessful
Trial,N,BasicOps,Time
1,1000,977,0.00254011154175
2,1000,977,0.00253701210022
3,1000,977,0.00252389907837
4,1000,977,0.00253295898438
5,1000,977,0.00256609916687
6,1000,977,0.00251698493958
7,1000,977,0.00250911712646
8,1000,977,0.00253891944885
9,1000,977,0.00250697135925
10,1000,977,0.00254392623901


234-1000-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000,1101,0.00299096107483
2,1000,1101,0.00290489196777
3,1000,1101,0.00304985046387
4,1000,1101,0.0030300617218
5,1000,1101,0.00297498703003
6,1000,1101,0.00299119949341
7,1000,1101,0.00287389755249
8,1000,1101,0.00302696228027
9,1000,1101,0.00302505493164
10,1000,1101,0.00302791595459
