

Test SearchCount: 100 Invalid Count: 100 StringCount: 1000
BST-1000-Insert
Trial,N,BasicOps,Time
1,1000,12485,0.0252180099487
2,1000,12485,0.0248370170593
3,1000,12485,0.0247960090637
4,1000,12485,0.0256698131561
5,1000,12485,0.0183939933777
6,1000,12485,0.0148239135742
7,1000,12485,0.0150859355927
8,1000,12485,0.0174248218536
9,1000,12485,0.0256040096283
10,1000,12485,0.0250730514526


BST-1000-SearchSuccessful
Trial,N,BasicOps,Time
1,1000,1221,0.00317096710205
2,1000,1221,0.00312399864197
3,1000,1221,0.00312781333923
4,1000,1221,0.00312399864197
5,1000,1221,0.00315117835999
6,1000,1221,0.00313997268677
7,1000,1221,0.00312304496765
8,1000,1221,0.00311303138733
9,1000,1221,0.00314998626709
10,1000,1221,0.00314712524414


BST-1000-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000,1334,0.00353193283081
2,1000,1334,0.00348591804504
3,1000,1334,0.00347495079041
4,1000,1334,0.00346493721008
5,1000,1334,0.00340509414673
6,1000,1334,0.00353097915649
7,1000,1334,0.00348401069641
8,1000,1334,0.00347590446472
9,1000,1334,0.00357389450073
10,1000,1334,0.00372815132141
