

Test SearchCount: 100000 Invalid Count: 100000 StringCount: 1000000
234-1000000-Insert
Trial,N,BasicOps,Time
1,1000000,26998876,110.85696888
2,1000000,26998876,107.865878105
3,1000000,26998876,113.667864084
4,1000000,26998876,106.574408054
5,1000000,26998876,106.028701067
6,1000000,26998876,114.916110039
7,1000000,26998876,111.703191996
8,1000000,26998876,111.161741972
9,1000000,26998876,110.403723001
10,1000000,26998876,112.027143002


234-1000000-SearchSuccessful
Trial,N,BasicOps,Time
1,1000000,2220204,4.77043199539
2,1000000,2220204,4.76469016075
3,1000000,2220204,4.75953984261
4,1000000,2220204,4.73446297646
5,1000000,2220204,4.78390192986
6,1000000,2220204,4.83537602425
7,1000000,2220204,4.78120112419
8,1000000,2220204,4.77661299706
9,1000000,2220204,4.17564797401
10,1000000,2220204,3.701182127


234-1000000-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000000,2338698,4.10961008072
2,1000000,2338698,4.01564097404
3,1000000,2338698,4.10911178589
4,1000000,2338698,4.04487586021
5,1000000,2338698,4.0208170414
6,1000000,2338698,4.07498884201
7,1000000,2338698,4.01915502548
8,1000000,2338698,4.05997395515
9,1000000,2338698,4.03409600258
10,1000000,2338698,4.02315688133
