

Test SearchCount: 100000 Invalid Count: 100000 StringCount: 1000000
BST-1000000-Insert
Trial,N,BasicOps,Time
1,1000000,26689053,49.8720541
2,1000000,26689053,49.0195670128
3,1000000,26689053,48.585324049
4,1000000,26689053,48.9901058674
5,1000000,26689053,45.5965139866
6,1000000,26689053,46.6880898476
7,1000000,26689053,49.0423269272
8,1000000,26689053,49.0677111149
9,1000000,26689053,48.7073709965
10,1000000,26689053,49.4599859715


BST-1000000-SearchSuccessful
Trial,N,BasicOps,Time
1,1000000,2669734,5.28525996208
2,1000000,2669734,5.0217628479
3,1000000,2669734,5.01484012604
4,1000000,2669734,5.20967197418
5,1000000,2669734,5.27511692047
6,1000000,2669734,5.19604301453
7,1000000,2669734,5.31437397003
8,1000000,2669734,5.32013106346
9,1000000,2669734,5.28092885017
10,1000000,2669734,5.22889304161


BST-1000000-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000000,2771205,5.53551316261
2,1000000,2771205,5.10703992844
3,1000000,2771205,4.97138309479
4,1000000,2771205,5.59030795097
5,1000000,2771205,5.61366200447
6,1000000,2771205,5.56002092361
7,1000000,2771205,5.61640906334
8,1000000,2771205,5.62692499161
9,1000000,2771205,5.5892469883
10,1000000,2771205,4.64524793625
