

Test SearchCount: 100000 Invalid Count: 100000 StringCount: 1000000
HashTable-1426030391-Insert
Trial,N,BasicOps,Time
1,1000000,9000000,1.38632512093
2,1000000,9000000,1.40504789352
3,1000000,9000000,1.40107893944
4,1000000,9000000,1.40975308418
5,1000000,9000000,1.40500998497
6,1000000,9000000,1.40450000763
7,1000000,9000000,1.39588594437
8,1000000,9000000,1.42111110687
9,1000000,9000000,1.41868591309
10,1000000,9000000,1.29741406441


HashTable-1426030391-SearchSuccessful
Trial,N,BasicOps,Time
1,1000000,900000,111.56213212
2,1000000,900000,110.184623003
3,1000000,900000,110.088386059
4,1000000,900000,108.776459932
5,1000000,900000,107.989012003
6,1000000,900000,112.127382994
7,1000000,900000,106.633659124
8,1000000,900000,109.679819822
9,1000000,900000,110.194955826
10,1000000,900000,101.252373934


HashTable-1426030391-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000000,900000,225.832994938
2,1000000,900000,227.797463894
3,1000000,900000,233.673472166
4,1000000,900000,207.673517942
5,1000000,900000,237.05679512
6,1000000,900000,233.333901882
7,1000000,900000,235.625340939
8,1000000,900000,225.440992832
9,1000000,900000,229.365772009
10,1000000,900000,237.390994072
