

Test SearchCount: 100000 Invalid Count: 100000 StringCount: 1000000
234-1426030391-Insert
Trial,N,BasicOps,Time
1,1000000,26640356,103.334142923
2,1000000,26640356,103.756906986
3,1000000,26640356,100.403666973
4,1000000,26640356,108.127305031
5,1000000,26640356,106.397050858
6,1000000,26640356,105.9757092
7,1000000,26640356,108.58071804
8,1000000,26640356,104.267057896
9,1000000,26640356,105.44907403
10,1000000,26640356,105.8233459


234-1426030391-SearchSuccessful
Trial,N,BasicOps,Time
1,1000000,2192515,4.74211287498
2,1000000,2192515,4.72348594666
3,1000000,2192515,4.65598702431
4,1000000,2192515,4.64156413078
5,1000000,2192515,4.64391589165
6,1000000,2192515,4.64360904694
7,1000000,2192515,4.63587403297
8,1000000,2192515,4.67847108841
9,1000000,2192515,4.67290306091
10,1000000,2192515,4.11954784393


234-1426030391-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000000,2311455,4.9768269062
2,1000000,2311455,4.977861166
3,1000000,2311455,4.98951077461
4,1000000,2311455,5.0135550499
5,1000000,2311455,5.01085090637
6,1000000,2311455,4.27584886551
7,1000000,2311455,4.80140805244
8,1000000,2311455,5.04645991325
9,1000000,2311455,4.52217197418
10,1000000,2311455,5.43435502052
